20
18,8244553571428
17,6484166666667
16,4718839285714
15,2948571428572
14,1173363095238
12,9393214285714
11,7608125
10,5818095238095
9,40231250000002
8,22232142857143
7,0418363095238
5,86085714285715
4,67938392857142
3,49741666666669
2,31495535714286
1,13199999999998
-0,0514494047618967
-1,23539285714287
-2,41983035714284
-3,6047619047619
-4,79018750000002
-5,97610714285714
-7,16252083333334
-8,34942857142855
-9,53683035714286
-10,7247261904762
-11,9131160714286
-13,102
-14,2913779761905
-15,48125
-16,6716160714286
-17,8624761904762
-19,0538303571429
-20,2456785714286
-21,4380208333333
-22,6308571428572
-23,8241875
-25,0180119047619
-26,2123303571428
-27,4071428571429
-28,6024494047619
-29,79825
-30,9945446428571
-32,1913333333333
-33,3886160714286
-34,5863928571429
-35,7846636904762
-36,9834285714286
-38,1826875
-39,3824404761905
-40,5826875
-41,7834285714286
-42,9846636904762
-44,1863928571429
-45,3886160714286
-46,5913333333334
-47,7945446428571
-48,99825
-50,2024494047619
-51,4071428571429
-52,6123303571429
-53,8180119047619
-55,0241875
-56,2308571428571
-57,4380208333333
-58,6456785714286
-59,8538303571428
-61,0624761904762
-62,2716160714286
-63,48125
-64,6913779761905
-65,902
-67,1131160714286
-68,3247261904762
-69,5368303571429
-70,7494285714286
-71,9625208333333
-73,1761071428572
-74,3901875
-75,6047619047619
-76,8198303571429
-78,0353928571429
-79,2514494047619
-80,468
-81,6850446428572
-82,9025833333333
-84,1206160714286
-85,3391428571429
-86,5581636904762
-87,7776785714286
-88,9976875
-90,2181904761905
-91,4391875
-92,6606785714286
-93,8826636904762
-95,1051428571429
-96,3281160714286
-97,5515833333333
-98,7755446428572
-100
